# mG mQ mQ3 mN1
2340 2151 3500 1900
2340 2151 3500 1416
2340 2151 3500 1
2340 3500 200 190
2340 3500 200 1
2340 3500 409 399
2340 3500 409 345
2340 3500 409 1
2340 3500 836 826
2340 3500 836 793
2340 3500 836 645
2340 3500 836 1
2340 3500 1711 1701
2340 3500 1711 1675
2340 3500 1711 1580
2340 3500 1711 1238
2340 3500 1711 1
2340 3500 3500 2330
2340 3500 3500 2310
2340 3500 3500 2252
2340 3500 3500 2076
2340 3500 3500 1554
2340 3500 3500 1
3500 500 200 190
3500 500 200 1
3500 500 409 399
3500 500 409 345
3500 500 409 1
3500 500 836 490
3500 500 836 429
3500 500 836 1
3500 500 1711 490
3500 500 1711 429
3500 500 1711 1
3500 500 3500 490
3500 500 3500 429
3500 500 3500 1
3500 813 200 190
3500 813 200 1
3500 813 409 399
3500 813 409 345
3500 813 409 1
3500 813 836 803
3500 813 836 770
3500 813 836 625
3500 813 836 1
3500 813 1711 803
3500 813 1711 770
3500 813 1711 625
3500 813 1711 1
3500 813 3500 803
3500 813 3500 770
3500 813 3500 625
3500 813 3500 1
3500 1323 200 190
3500 1323 200 1
3500 1323 409 399
3500 1323 409 345
3500 1323 409 1
3500 1323 836 826
3500 1323 836 793
3500 1323 836 645
3500 1323 836 1
3500 1323 1711 1313
3500 1323 1711 1289
3500 1323 1711 1208
3500 1323 1711 932
3500 1323 1711 1
3500 1323 3500 1313
3500 1323 3500 1289
3500 1323 3500 1208
3500 1323 3500 932
3500 1323 3500 1
3500 2151 200 190
3500 2151 200 1
3500 2151 409 399
3500 2151 409 345
3500 2151 409 1
3500 2151 836 826
3500 2151 836 793
3500 2151 836 645
3500 2151 836 1
3500 2151 1711 1701
3500 2151 1711 1675
3500 2151 1711 1580
3500 2151 1711 1238
3500 2151 1711 1
3500 2151 3500 2141
3500 2151 3500 2122
3500 2151 3500 2066
3500 2151 3500 1900
3500 2151 3500 1416
3500 2151 3500 1
3500 3500 200 190
3500 3500 200 1
3500 3500 409 399
3500 3500 409 345
3500 3500 409 1
3500 3500 836 826
3500 3500 836 793
3500 3500 836 645
3500 3500 836 1
3500 3500 1711 1701
3500 3500 1711 1675
3500 3500 1711 1580
3500 3500 1711 1238
3500 3500 1711 1
3500 3500 3500 3490
3500 3500 3500 3473
3500 3500 3500 3429
3500 3500 3500 3313
3500 3500 3500 3003
3500 3500 3500 2181
3500 3500 3500 1
