&Topology&Total&(5,$-m_{1/2}$,-1)&(5,$-m_{1/2}$,1)&(5,0,-1)&(5,0,1)&(40,$-m_{1/2}$,-1)&(40,$-m_{1/2}$,1)&(40,0,-1)&(40,0,1)\\
38&N2qqN1_N3qqN1& 0.04\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.06\% & 0.1\% & 0.1\% & 0.07\% \\
39&T1bC1wN1_T1tN1& 0.03\% & 0.13\% & 0.1\% & 0.02\% & 0.02\% & 0.0\% & 0.01\% & 0.0\% & 0.0\% \\
40&C1wN1_N3hN1& 0.03\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.06\% & 0.05\% & 0.06\% & 0.05\% \\
41&GqqN1_QqC1wN1& 0.03\% & 0.03\% & 0.03\% & 0.06\% & 0.05\% & 0.01\% & 0.02\% & 0.01\% & 0.01\% \\
42&GbbN1_GqqN1& 0.02\% & 0.03\% & 0.04\% & 0.03\% & 0.04\% & 0.02\% & 0.02\% & 0.01\% & 0.01\% \\
43&C1wN1_N4hN1& 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.05\% & 0.04\% & 0.04\% & 0.03\% \\
44&GqQqN1_GqQqN1& 0.02\% & 0.09\% & 0.02\% & 0.04\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
45&C1nTAU1taN1_C1nTAU1taN1& 0.02\% & 0.03\% & 0.0\% & 0.01\% & 0.0\% & 0.03\% & 0.07\% & 0.01\% & 0.02\% \\
46&GqQqN1_QqC1taNUTnN1& 0.02\% & 0.09\% & 0.01\% & 0.03\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
47&GqQqN1_QqC1eNUnN1& 0.02\% & 0.09\% & 0.02\% & 0.03\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
48&GqQqN1_QqC1mNUnN1& 0.02\% & 0.09\% & 0.02\% & 0.03\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
49&GqQqN1_QqN2nNUnN1& 0.02\% & 0.09\% & 0.02\% & 0.03\% & 0.01\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% \\
50&GbtC2wN1_GbtC2wN1& 0.02\% & 0.0\% & 0.0\% & 0.01\% & 0.0\% & 0.05\% & 0.03\% & 0.03\% & 0.02\% \\
51&C1enN1_N2eeN1& 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.02\% & 0.01\% & 0.04\% & 0.04\% \\
52&C1mnN1_N2mmN1& 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.02\% & 0.01\% & 0.04\% & 0.04\% \\
53&C1enN1_N2tataN1& 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.02\% & 0.01\% & 0.04\% & 0.04\% \\
54&C1ntaN1_N2eeN1& 0.02\% & 0.0\% & 0.0\% & 0.0\% & 0.0\% & 0.02\% & 0.01\% & 0.04\% & 0.04\% \\
